dataType,dataName,devicetypes,elementTypes,section,page,order,attachTo,type,title,question,notes,units,required,hidden,protected,dontsend,requiresConfirmation,ignoreDefault,minutes,photo,commentTitle,ifExpr,defaultExpr,passfailExpr,failtext,options,columns,legacyId
design,connectionCH,network,,Central Heating 1,,1012,,select,Central heating connection,What types of central heating connection is used?,,,true,false,false,false,true,false,0,,,{{kwCHMax}},,,,"[{""title"":""Direct"",""value"":""direct""},{""title"":""Indirect"",""value"":""indirect""},{""title"":""Mixed"",""value"":""mixed""}]",,261
design,typeTRV,network,,Central Heating 2,,1013,,select,Radiator flow control,What types of TRVs are used?,,,true,false,false,false,true,false,0,,,'{{typeEmitter}}'=='radiator',,,,"[{""title"":""Basic TRV, with no presetting"",""value"":""basic TRV""},{""title"":""Pre-settable TRV"",""value"":""presettable TRV""},{""title"":""Pressure-independent pre-settable TRV"",""value"":""PICV TRV""},{""title"":""None, isolation only"",""value"":""isolation""}]",,268
design,typeRTL,network,,Central Heating 2,,1014,,select,Radiator return control,Are return temperature limit valves fitted to radiators?,,,true,false,false,false,true,false,0,,,'{{typeEmitter}}'=='radiator',,,,"[{""title"":""Return temperature control"",""value"":""RTL""},{""title"":""None, isolation only"",""value"":""isolation""}]",,263
design,tXPeak,network,,Central Heating 2,,1015,,number,External temperature at peak load,What is the outside temperature used for the peak central heating?,Typically -5C. This is the temperatures used to derive figures in the load schedule.,°C,true,false,false,false,true,false,0,,,{{kwCHMax}},-5,,,,,273
design,tPriRtnCH,network,,Central Heating 2,,1016,,number,Central heating network return temperature,What is the network return temperature for central heating?,The temperature fed back from a property to the network when running peak load central heating.,°C,false,false,false,false,true,false,0,,,{{kwCHMax}},45,,,,,267
design,divCH,network,,Central Heating 2,,1017,,number,Central heating diversity,What diversity is applied to central heating output?,,%,false,false,false,false,true,false,0,,,{{kwCHMax}},70,,,,,274
design,baseTemp,network,,Central Heating 2,,1018,,select,Base temperature,What base temperature is used for heating calculations?,The <i>base temperature</i> is the external temperature below which central heating comes on. 16C to 18C is a typical range. Visit https://www.degreedays.net/base-temperature for further information.,,true,false,false,false,true,false,0,,,{{kwCHMax}},18,,,"[{""title"":""16.0"",""value"":""16""},{""title"":""16.5"",""value"":""16.5""},{""title"":""17.0"",""value"":""17""},{""title"":""17.5"",""value"":""17.5""},{""title"":""18.0"",""value"":""18""},{""title"":""18.5"",""value"":""18.5""},{""title"":""19.0"",""value"":""19""},{""title"":""19.5"",""value"":""19.5""},{""title"":""20.0"",""value"":""20""},{""title"":""20.5"",""value"":""20.5""},{""title"":""21.0"",""value"":""21""},{""title"":""21.5"",""value"":""21.5""},{""title"":""22.0"",""value"":""22""}]",,276
design,degDaysAvg,network,,Central Heating 2,,1019,,csv,Central heating degree-days,What degree-days are used to estimate annual central heating loads (16C to 22C base temp)?,"Degree days represent the amount of heating required in a location, based on historic weather data. Visit https://www.degreedays.net/ for further information and to obtain values.",°days,true,true,false,false,true,false,0,,,{{kwCHMax}},"1749.5,1884.5,2023.9,2167.9,2316.2,2467.9,2623.5,2782.4,2944.3,3108.6,3275.4,3444.9,3615.7",,,,,271
design,degDays,network,,Central Heating (2),,1020,,number,Central heating degree-days at base temperature,What degree-days are used to estimate annual central heating loads?,"Degree days represent the amount of heating required in a location, based on historic weather data. Visit https://www.degreedays.net/ for further information and to obtain values.",°days,true,false,false,false,true,false,0,,,{{baseTemp}},{{dDaysCalc}},,,,,269
design,goBoilers,network,,Heat Sources,,1021,,boolean,Boilers,Are boilers to be used?,,,true,false,false,false,true,false,0,,,true,,,,,,270
design,goASHP,network,,Heat Sources,,1022,,boolean,Air Source Heat Pumps,Are air source heat pumps to be used?,Not including heat pumps in properties.,,true,false,false,false,true,false,0,,,true,,,,,,272
design,goHN,network,,Heat Sources,,1023,,boolean,External Heat Network Supply,Is the network fed from another heat network?,,,true,false,false,false,true,false,0,,,true,,,,,,290
design,goWSHP,network,,Heat Sources,,1024,,boolean,Water Source Heat Pumps,Are water source heat pumps to be used?,This is taking heat from an ambient loop or water source. Not including heat pumps in properties.,,true,false,false,false,true,false,0,,,true,,,,,,275
design,goReclaim,network,,Heat Sources,,1025,,boolean,Cooling Source Heat Pumps,Are water source heat pumps to be used to reclaim cooling?,This is where cooling circuits are driven by moving heat to the main storage.,,true,false,false,false,true,false,0,,,true,,,,,,278
design,goCHP,network,,Heat Sources,,1026,,boolean,Combined Heat & Power,Is CHP (Combined Heat & Power) to be used?,,,true,false,false,false,true,false,0,,,true,,,,,,277
design,goSolar,network,,Heat Sources,,1027,,boolean,Solar Thermal,Are solar panels (thermal) to be used?,,,true,false,false,false,true,false,0,,,true,,,,,,281
design,boilerFuel,network,,Boilers,,1028,,select,Boiler fuel type,What is the fuel source?,,,true,false,false,false,true,false,0,,,{{goBoilers}},,,,"[{""title"":""Mains Gas"",""value"":""gas""},{""title"":""LPG"",""value"":""lpg""},{""title"":""Biogas"",""value"":""biogas""},{""title"":""Biomass"",""value"":""biomass""},{""title"":""Hydrogen"",""value"":""hydrogen""},{""title"":""Fuel Oil"",""value"":""oil""},{""title"":""Electric"",""value"":""electric""}]",,280
design,boilerEmissions,network,,Boilers,,1029,,number,Boiler Emissions,The following CO2 emissions will be used.,,kgCO2/kWh,true,false,false,false,true,false,0,,,{{goBoilers}},0.216,,,,,283
design,listBSizes,network,,Boilers,,1030,,csv,Available boiler outputs,What sizes of boiler output are available for selection?,This is a comma-seperated list of outputs in kW. Selection will round up to the nearest available size.,kW,true,true,false,false,true,false,0,,,{{goBoilers}},"30,50,75,100,250,500,750,1000",,,,,279
design,selectBoilers,network,,Boilers,,1031,,object,Boiler selection,Please confirm boiler selection,,n x kW,true,false,false,false,true,false,0,,,{{goBoilers}},,,,,,282
design,tariffHP,network,,Electrical Supplies for Heat Pumps,,1032,,select,Electrical Tariff,What Electrical Tariff is used to drive heat pumps?,"Are electricity supplied provided at a flat rate charge or do prices vary, for example by the time of day.",,true,false,false,false,true,false,0,,,'{{goASHP}}'!=='' || '{{goWSHP}}'!=='',,,,"[{""title"":""Flat rate"",""value"":""flat""},{""title"":""Peak+Economy rates"",""value"":""mixed""}]",,284
design,elecEmissions,network,,Electrical Supplies for Heat Pumps,,1033,,number,Electrical Supply Emissions,The following CO2 emissions will be used for grid supplied electricity.,Source: https://www.buildenergy.co.uk/tips-and-insight/sap-technicals-fuel-factors/,kgCO2/kWh,true,false,false,false,true,false,0,,,'{{goASHP}}'!=='' || '{{goWSHP}}'!=='',0.233,,,,,285
design,substationType,network,,External Heat Network Input,,1034,,select,Substation Type,Is a single or double plate substation to be used?,This relates to the number of plate heat exchangers.,,true,false,false,false,true,false,0,,,{{goHN}},,,,"[{""title"":""Direct (no plate)"",""value"":""direct""},{""title"":""Single plate substation"",""value"":""single""},{""title"":""Twin plate substation"",""value"":""twin""}]",,286
design,fridgeASHP,network,,Air Source Heat Pumps,,1035,,select,ASHP refrigerant,What refrigerant is used in the heat pump?,,,true,false,false,false,true,false,0,,,{{goASHP}},,,,"[{""title"":""R744 (CO2)"",""value"":""R744""},{""title"":""R407C, R32, R410a or R417a"",""value"":""R4-""}]",,287
design,listASHPSizes,network,,Air Source Heat Pumps,,1036,,csv,Available heat pump outputs,What sizes of heat pump output are available for selection?,This is a comma-seperated list of outputs in kW. Selection will round up to the nearest available size.,kW,true,true,false,false,true,false,0,,,{{goASHP}},30,,,,,296
design,selectASHP,network,,Air Source Heat Pumps,,1037,,object,ASHP selection,Please confirm air source heat pump selection,,n x kW,true,false,false,false,true,false,0,,,{{goASHP}},,,,,,288
design,fridgeWSHP,network,,Water Source Heat Pumps,,1038,,select,WSHP refrigerant,What refrigerant is used in the heat pump?,,,true,false,false,false,true,false,0,,,{{goWSHP}},,,,"[{""title"":""R744 (CO2)"",""value"":""R744""},{""title"":""R407C, R32, R410a or R417a"",""value"":""R4-""}]",,289
design,listWSHPSizes,network,,Water Source Heat Pumps,,1039,,csv,Available heat pump outputs,What sizes of heat pump output are available for selection?,This is a comma-seperated list of outputs in kW. Selection will round up to the nearest available size.,kW,true,true,false,false,true,false,0,,,{{goWSHP}},"50,100,150,250,500,1000",,,,,293
design,selectWSHP,network,,Water Source Heat Pumps,,1040,,object,WSHP selection,Please confirm water source heat pump selection,,n x kW,true,false,false,false,true,false,0,,,{{goWSHP}},,,,,,292
design,vBuffer,network,,Buffer Storage,,1041,,number,Buffer volume,What volume of buffer storage is to be provided?,A volume of {{vBuffer9}} litres or more is advised. This is based on storing the heaviest hour of hot water use. A minimum of 500 litres would ne normal for low load functions.,litres,true,false,false,false,true,false,0,,,true,{{vBuffer9}},,,,,291
design,networkTempValve,network,,Controls,,1042,,boolean,Network temperature control valve,Is a dedicated network temperature control valve required?,,,true,false,false,false,true,false,0,,,true,,,,,,302
design,pipeSizes,network,,Pipe Sizing,,1043,,sheet,Schedule of pipes sizes,The following pipes are used for sizing,,,true,false,false,false,true,false,0,,,true,,,,,"[{""name"":""dnSize"",""type"":""text"",""title"":""Nominal Size"",""width"":""120""},{""name"":""bore"",""type"":""numeric"",""title"":""Bore (mm)"",""width"":""120"",""decimal"":"".""},{""name"":""imperial"",""type"":""numeric"",""title"":""Imperial"",""width"":""120"",""decimal"":"".""},{""name"":""copper"",""type"":""numeric"",""title"":""Copper"",""width"":""120"",""decimal"":"".""}]",294
design,maxVelocity,network,,Pipe Sizing,,1044,,number,Flow pipe sizing maximum velocity,What is the peak pipe velocity for flow (hot) pipes?,"Flow pipes are sized to a peak velocity to minimise size and heat loss, typically 2m/s. The upper limit is set by the materials used, and by noise limits as per CIPHE Building Engineering Services Design Guide.",m/s,true,false,false,false,true,false,0,,,true,1.5,,,,,295
design,minVelocity,network,,Pipe Sizing,,1045,,number,Return pipe sizing minimum velocity,What is the minimum pipe velocity for (return) pipes?,Return pipes are sized to a minimum velocity to maximise size and reduce pressure losses. The lower velocity of 0.5m/s is set in CIBSE Guide B (recent erratum).,m/s,true,false,false,false,true,false,0,,,true,0.5,,,,,297
design,allowPipeDiff,network,,Pipe Sizing,,1046,,boolean,Allow different flow and return pipe sizing,Can flow and return pipe sizes differ (alongside)?,CIBSE Guide B recognises that maintaining velocity in flow pipes is more important than return pipes. To optimise efficiency this means that certain sectoins of pipe would be better sized with a smaller flow pipe than the return pipe. Answer yes if this is to be allowed in pipework selection.,,true,false,false,false,true,false,0,,,true,,,,,,298
design,goSave,network,,Save,,1047,,boolean,Save design,Save design?,"This option opens up the menu for saving designs. Designs and data are saved to the public IPFS network for sharing. While this is not inherently secure, the data is provided a 47 character hash that is unique to the contents and impossible to guess. Data stored on IPFS is peer-to-peer and can be pinned by anyone making it persistent. We will typically pin design data for a period of 6 months after which it may be removed. See https://ipfs.io/ for mor information on IPFS (Interplanetary File system).",,true,false,false,false,true,false,0,,,true,,,,,,300
design,networkName,network,,Save,,1048,,text,Network name,What is the name of the Network?,,,false,false,false,false,true,false,0,,,{{goSave}},,,,,,299
design,email,network,,Save,,1049,,email,Email address,Email address?,,,true,false,false,false,true,false,0,,,{{goSave}},,,,,,301
